,unique_id,id,year,name_sa,area_ha,cut_2000_area_ha,cut_2001_area_ha,cut_2002_area_ha,cut_2003_area_ha,cut_2004_area_ha,cut_2005_area_ha,cut_2006_area_ha,cut_2007_area_ha,cut_2008_area_ha,cut_2009_area_ha,cut_2010_area_ha,cut_2011_area_ha,cut_2012_area_ha,cut_2013_area_ha,cut_2014_area_ha,cut_2015_area_ha,cut_2016_area_ha,cut_2017_area_ha,cut_2018_area_ha,cut_8_year_area_ha,1999_M_survey2014,1999_S_survey2014,2000_M_survey2014,2000_S_survey2014,2001_M_survey2014,2001_S_survey2014,2002_M_survey2014,2002_S_survey2014,2003_M_survey2014,2003_S_survey2014,2003_V_survey2014,2004_M_survey2014,2004_S_survey2014,2004_V_survey2014,2005_M_survey2014,2005_S_survey2014,2005_V_survey2014,2006_M_survey2014,2006_S_survey2014,2006_V_survey2014,2007_M_survey2014,2007_S_survey2014,2007_V_survey2014,2008_M_survey2014,2008_S_survey2014,2008_V_survey2014,2009_M_survey2014,2009_S_survey2014,2009_V_survey2014,2010_M_survey2014,2010_S_survey2014,2011_M_survey2014,2011_V_survey2014,2012_M_survey2014,2012_S_survey2014,2013_M_survey2014,2014_M_survey2014,1999_M_survey2015,1999_S_survey2015,2000_M_survey2015,2000_S_survey2015,2001_M_survey2015,2001_S_survey2015,2002_M_survey2015,2002_S_survey2015,2003_M_survey2015,2003_S_survey2015,2003_V_survey2015,2004_M_survey2015,2004_S_survey2015,2004_V_survey2015,2005_M_survey2015,2005_S_survey2015,2005_V_survey2015,2006_M_survey2015,2006_S_survey2015,2006_V_survey2015,2007_M_survey2015,2007_S_survey2015,2007_V_survey2015,2008_M_survey2015,2008_S_survey2015,2008_V_survey2015,2009_M_survey2015,2009_S_survey2015,2009_V_survey2015,2010_M_survey2015,2010_S_survey2015,2011_M_survey2015,2011_V_survey2015,2012_M_survey2015,2012_S_survey2015,2013_M_survey2015,2014_M_survey2015,2015_M_survey2015,1999_M_survey2016,1999_S_survey2016,2000_M_survey2016,2000_S_survey2016,2001_M_survey2016,2001_S_survey2016,2002_M_survey2016,2002_S_survey2016,2003_M_survey2016,2003_S_survey2016,2003_V_survey2016,2004_M_survey2016,2004_S_survey2016,2004_V_survey2016,2005_M_survey2016,2005_S_survey2016,2005_V_survey2016,2006_M_survey2016,2006_S_survey2016,2006_V_survey2016,2007_M_survey2016,2007_S_survey2016,2007_V_survey2016,2008_M_survey2016,2008_S_survey2016,2008_V_survey2016,2009_M_survey2016,2009_S_survey2016,2009_V_survey2016,2010_M_survey2016,2010_S_survey2016,2011_M_survey2016,2011_V_survey2016,2012_M_survey2016,2012_S_survey2016,2013_M_survey2016,2014_M_survey2016,2015_M_survey2016,2016_M_survey2016,2016_S_survey2016,1999_M_survey2017,1999_S_survey2017,2000_M_survey2017,2000_S_survey2017,2001_M_survey2017,2001_S_survey2017,2002_M_survey2017,2002_S_survey2017,2003_M_survey2017,2003_S_survey2017,2003_V_survey2017,2004_M_survey2017,2004_S_survey2017,2004_V_survey2017,2005_M_survey2017,2005_S_survey2017,2005_V_survey2017,2006_M_survey2017,2006_S_survey2017,2006_V_survey2017,2007_M_survey2017,2007_S_survey2017,2007_V_survey2017,2008_M_survey2017,2008_S_survey2017,2008_V_survey2017,2009_M_survey2017,2009_S_survey2017,2009_V_survey2017,2010_M_survey2017,2010_S_survey2017,2011_M_survey2017,2011_V_survey2017,2012_M_survey2017,2012_S_survey2017,2013_M_survey2017,2014_M_survey2017,2015_M_survey2017,2016_M_survey2017,2016_S_survey2017,2017_M_survey2017,2017_S_survey2017,1999_M_survey2018,1999_S_survey2018,2000_M_survey2018,2000_S_survey2018,2001_M_survey2018,2001_S_survey2018,2002_M_survey2018,2002_S_survey2018,2003_M_survey2018,2003_S_survey2018,2003_V_survey2018,2004_M_survey2018,2004_S_survey2018,2004_V_survey2018,2005_M_survey2018,2005_S_survey2018,2005_V_survey2018,2006_M_survey2018,2006_S_survey2018,2006_V_survey2018,2007_M_survey2018,2007_S_survey2018,2007_V_survey2018,2008_M_survey2018,2008_S_survey2018,2008_V_survey2018,2009_M_survey2018,2009_S_survey2018,2009_V_survey2018,2010_M_survey2018,2010_S_survey2018,2011_M_survey2018,2011_V_survey2018,2012_M_survey2018,2012_S_survey2018,2013_M_survey2018,2014_M_survey2018,2015_M_survey2018,2016_M_survey2018,2016_S_survey2018,2017_M_survey2018,2017_S_survey2018,2018_M_survey2018,2018_S_survey2018,mpb_m_8_year_area_ha_2014,mpb_s_8_year_area_ha_2014,mpb_vs_8_year_area_ha_2014,mpb_m_8_year_area_ha_2015,mpb_s_8_year_area_ha_2015,mpb_vs_8_year_area_ha_2015,mpb_m_8_year_area_ha_2016,mpb_s_8_year_area_ha_2016,mpb_vs_8_year_area_ha_2016,mpb_m_8_year_area_ha_2017,mpb_s_8_year_area_ha_2017,mpb_vs_8_year_area_ha_2017,mpb_m_8_year_area_ha_2018,mpb_s_8_year_area_ha_2018,mpb_vs_8_year_area_ha_2018,mpb_m_8_year_area_ha,mpb_s_8_year_area_ha,mpb_vs_8_year_area_ha,mpb_all_8_year_area_ha
1,Big Creek2015,1,2015,Big Creek,545833.7595,1468.57,973.18,146.61,741.58,574.71,768.95,3986.78,5620.66,5937.21,3700.38,4104.35,3673.76,5235.57,7838.51,4947.62,4037.66,3778.88,1340.09,952.85,39475.06,2.063607877,0,0,0,0,0.13917104,27.10126093,0.368989159,12.59876719,8.306236355,0,162.0209952,23.0764609,0,599.7261726,352.2782055,0,2074.617413,1909.51457,556.9486603,1898.970751,3053.027835,1937.606089,4669.325021,54.85487578,3.787969475,44205.94891,2187.855514,0,627.3104565,11.41227495,16.63574756,0,9.643055434,0,0,22.94193616,2.063607877,0,0,0,0,0.13917104,27.10126093,0.368989159,12.59494535,8.306236355,0,162.0209952,23.0764609,0,599.6332748,352.4271976,0,2075.682082,1875.065188,553.2459165,1892.460994,3048.041973,1937.606089,4665.805244,54.85487578,3.787969475,44120.53406,2187.59615,0,546.6850568,11.41227495,16.63574756,0,9.643055434,0,0,14.22527372,62.00029232,1.727745464,0,0,0,0,0.13917104,27.10126093,0.368989159,12.59494535,8.306236355,0,161.8723332,23.0764609,0,598.6645474,352.4271976,0,2075.667537,1863.145648,553.2459165,1885.09121,3047.545645,1937.606089,4646.36151,54.85487578,3.787969475,44099.13369,2186.933003,0,537.4625894,11.41227495,16.63574756,0,9.52344431,0,0,14.22527372,40.40410459,221.2953822,72.62834221,0,0,0,0,0,0.13917104,24.08027465,0.368989159,11.33716067,8.306236355,0,104.5991708,8.004785989,0,593.8607961,352.4262994,0,1723.778818,1733.223846,410.8526552,1425.717706,3007.951744,1936.993317,4533.146091,54.85487578,3.787969475,43824.51453,2085.454959,0,514.4218304,11.41227495,16.63574756,0,6.464436128,0,0,14.22527372,6.087892264,80.83185096,8.906006828,637.8041022,268.6580669,0,0,0,0,0,0.13917104,24.08027465,0.368989159,11.33716067,8.306236355,0,104.0792846,6.9782329,0,586.4295005,352.4262994,0,1723.778529,1717.987594,410.8526552,1423.450467,2978.438832,1936.986376,4528.839482,54.85487578,3.787969475,43727.49581,2074.65517,0,492.2206998,11.41227495,15.07045605,0,6.464436128,0,0,14.22527372,6.087892264,61.28242021,8.906006828,415.2120882,264.8256885,1325.224273,174.6314109,0,0,0,49435.52873,2253.8633,3.787969475,0,0,0,0,0,0,0,0,0,49435.52873,2253.8633,3.787969475,51693.18
2,Big Creek2016,1,2016,Big Creek,553615.8563,1395.36,913.68,233.5,601.39,329.16,721.79,3415.87,5328.55,5243.81,3460.42,3883.04,3291.03,4931.95,7636.07,4845.66,4302.43,3027.12,1411.86,687.97,35377.72,0.335862414,0,0,0,0,0.13917104,24.08027465,0.368989159,12.24977426,8.306236355,0,122.1444278,8.004785989,0,634.4139484,352.2775674,0,2151.134012,1775.315838,366.2896737,1881.297182,2956.709179,1929.10629,4412.946479,124.0254815,3.787969475,45642.48055,2712.055752,0,656.3902081,11.41227495,16.63574756,1.761746757,15.05107178,0,7.448521304,53.45721978,0.335862414,0,0,0,0,0.13917104,24.08027465,0.368989159,12.24595241,8.306236355,0,122.1444278,8.004785989,0,634.3210506,352.4265594,0,2152.198681,1740.866402,362.5869299,1874.787425,2951.723985,1929.10629,4409.411764,124.0254815,3.787969475,45510.50884,2705.242829,0,575.7648084,11.41227495,16.63574756,0.399022936,15.05107178,0,7.448521304,22.55408429,199.0937035,0,0,0,0,0,0.13917104,24.08027465,0.368989159,12.24595241,8.306236355,0,122.1444278,8.004785989,0,633.3522937,352.4265594,0,2152.184136,1729.438007,362.5869299,1865.987512,2948.474936,1929.10629,4389.96803,124.0254815,3.787969475,45485.45239,2697.772274,0,566.4840591,11.41227495,16.63574756,0.220994092,14.93146066,0,7.448521304,21.05201797,100.1921421,284.5735741,78.16665895,0,0,0,0,0,0.13917104,24.08027465,0.368989159,11.33619555,8.306236355,0,104.5991708,8.004785989,0,631.0557013,352.4262695,0,1982.942848,1622.204297,246.6434421,1760.524344,2923.50522,1929.107049,4283.028585,124.0254815,3.787969475,45102.89215,2576.968999,0,536.0757461,11.41227495,16.63574756,0.114442271,11.87245248,0,7.448521304,15.89802484,16.89087712,89.8107062,8.906006828,824.3544379,561.8953952,0,0,0,0,0,0.13917104,24.08027465,0.368989159,11.33619555,8.306236355,0,104.0792846,6.9782329,0,623.6244056,352.4262695,0,1982.942558,1606.968045,246.6434421,1731.286561,2889.673602,1929.100109,4278.721976,124.0254815,3.787969475,44962.6738,2563.886245,0,508.9098254,11.41227495,15.07045605,0.114442271,11.87245248,0,7.448521304,15.09330607,14.38995247,70.26127545,8.906006828,541.7151209,382.6095082,1806.617824,494.7317759,0,0,0,0,0,0,46496.76992,2787.351208,0.220994092,0,0,0,0,0,0,46496.76992,2787.351208,0.220994092,49284.34212
3,Big Creek2017,1,2017,Big Creek,704067.0666,2178.87,1836.87,385.11,1103.62,1241.47,1628.62,5080,7391.6,6535.19,3402.45,4700.95,3706.45,5595.2,9435.05,5498.42,4854.65,4239.95,1609.69,1609.97,37010.1,0.335862414,0,0,0,0,0.13917104,24.08027465,0.368989159,47.01529817,8.306236355,0,847.3327256,21.50225496,0,862.2302189,412.6863516,0,5583.677819,2843.241264,360.6252184,2120.194707,3387.94157,1908.787992,4110.379563,52.07299826,3.787969475,42863.00959,2177.304268,0,612.5572534,11.41227495,16.63574756,2.220904822,15.05107178,0,0,53.45721978,0.335862414,0,0,0,0,0.13917104,24.08027465,0.368989159,47.01147632,8.306236355,0,846.7303528,21.50225496,0,862.137321,412.8353437,0,5566.743374,2810.764798,356.9224746,2113.685351,3382.831038,1908.787992,4106.859786,52.07299826,3.787969475,42762.59898,2177.304268,0,531.9318537,11.41227495,16.63574756,0.399278724,15.05107178,0,0,22.55408429,199.0934748,0,0,0,0,0,0.13917104,24.08027465,0.368989159,47.01147632,8.306236355,0,840.3060955,21.50225496,0,861.1317727,412.8352776,0,5518.676533,2795.3832,356.9224746,2100.33436,3382.269582,1908.787992,4087.416052,52.07299826,3.787969475,42740.55848,2176.641121,0,522.6511044,11.41227495,16.63574756,0.220994092,14.93146066,0,0,21.05201797,100.1921421,271.0608432,78.16665895,0,0,0,0,0,0.13917104,24.08027465,0.368989159,46.10171946,8.306236355,0,616.0640432,21.09968832,0,832.0199485,389.7774794,0,3944.076331,2639.304752,241.9041445,1643.681932,3332.237883,1905.503955,4003.259251,52.07299826,3.787969475,42498.9624,2091.286291,0,492.2427914,11.41227495,16.63574756,0.114442271,11.87245248,0,0,15.89802484,16.89087712,89.8107062,8.906006828,804.0894788,518.065188,0,0,0,0,0,0.13917104,24.08027465,0.368989159,46.10171946,8.306236355,0,611.7522615,20.07313523,0,824.5886528,389.7774794,0,3926.107377,2623.891996,241.9041445,1641.043642,3302.724972,1905.497014,3998.952642,52.07299826,3.787969475,42396.64188,2080.486502,0,465.0768707,11.41227495,15.07045605,0.114442271,11.87245248,0,0,15.09330607,14.38995247,70.26127545,8.906006828,532.5360526,382.6095051,1827.667769,433.6114414,0,0,0,0,0,0,0,0,0,1447.440078,538.3834697,0.114442271,0,0,0,1447.440078,538.3834697,0.114442271,1985.93799
4,Big Creek2018,1,2018,Big Creek,681245.8567,2066.97,1656.15,385.11,1036.15,1097,1444.71,4750.39,7075.5,6478.71,3270.91,4630.99,3428.42,5587.34,9339.48,5111.42,4997.09,3933.89,1671.52,1589.07,33395.86,0.335862414,0,0,0,0,0.13917104,24.08027465,0.368989159,12.25073939,8.306236355,0,725.2072352,18.35823781,0,831.6692808,387.8818876,0,4838.093772,2695.378572,78.51251653,2109.760144,3303.594203,1811.841527,3702.03896,52.85330512,1.999940187,44839.60186,2241.878288,0,653.2552847,11.41227495,16.63574756,0,15.05107178,0,7.448521304,53.45721978,0.335862414,0,0,0,0,0.13917104,24.08027465,0.368989159,12.24691754,8.306236355,0,724.6109591,18.35823781,0,831.5769575,388.0308796,0,4824.124333,2660.884193,78.51251653,2110.025986,3298.484074,1811.841527,3698.519183,52.85330512,1.999940187,44707.63016,2235.065365,0,572.629885,11.41227495,16.63574756,0,15.05107178,0,7.448521304,22.55408429,199.0934748,0,0,0,0,0,0.13917104,24.08027465,0.368989159,12.24691754,8.306236355,0,718.1867018,18.35823781,0,830.5714092,388.0308136,0,4776.089681,2645.993742,78.51251653,2096.674996,3297.922617,1811.841527,3679.075449,52.85330512,1.999940187,44682.57371,2234.402218,0,563.3491357,11.41227495,16.63574756,0,14.93146066,0,7.448521304,21.05201797,100.1921421,232.4590202,72.62834221,0,0,0,0,0,0.13917104,24.08027465,0.368989159,11.33716067,8.306236355,0,501.0069282,17.95567116,0,801.4596298,379.2938182,0,3465.82963,2561.056086,78.38127378,1694.380658,3267.684791,1811.842286,3572.21978,52.85330512,1.999940187,44319.80702,2114.21465,0,532.9408227,11.41227495,16.63574756,0,11.87245248,0,7.448521304,15.89802484,16.89087712,89.71408689,8.906006828,769.7980172,408.9446148,0,0,0,0,0,0.13917104,24.08027465,0.368989159,11.33716067,8.306236355,0,500.2292969,16.92911807,0,794.0283342,379.2938182,0,3447.860676,2545.64333,78.38127378,1691.742368,3237.339858,1811.835345,3567.913172,52.85330512,1.999940187,44185.75253,2102.598174,0,505.776057,11.41227495,15.07045605,0,11.87245248,0,7.448521304,15.09330607,14.38995247,70.16465614,8.906006828,523.3899568,352.5550098,1731.172174,321.8183566,0,0,0,0,0,0,0,0,0,0,0,0,2388.601476,683.2793732,0,2388.601476,683.2793732,0,3071.880849
5,Bonaparte2015,4,2015,Bonaparte,304819.2137,1526.72,1441.3,2702.95,2561.19,3301.74,3764.38,3910.41,3672.32,3875.51,4607.16,6138.93,5832.57,6568.17,6192.73,5383.7,4663.77,3685.84,1915.53,3721.24,43262.54,86.18494119,12.94982965,65.77587433,0,95.07053847,220.8318453,127.1265123,202.9041523,395.4247382,274.3409628,0,1437.218222,1101.558908,382.2661061,1619.864391,1050.314575,2760.354264,3548.970029,2915.061687,6572.482243,4184.607275,2125.122057,2067.065245,21939.53264,14549.24592,12470.867,828.4116627,108.402834,0,10.727511,0,0,0,0,0,0,0,86.18494119,12.94982965,65.77587433,0,94.93499509,220.8318453,126.9901163,188.3341099,376.7077612,270.1890151,0,1380.218103,1038.970839,382.2050072,1493.317783,1043.279708,2220.911671,3400.296651,2668.515578,6372.185457,4134.398391,2096.745615,2054.086403,21482.67071,14043.36422,12269.7305,827.6334106,108.402834,0,10.727511,0,0,0,0,0,0,0,0,86.18494119,12.94982965,65.77587432,0,94.93499509,220.8318453,126.9901163,188.3341099,376.7077612,270.1890151,0,1372.144713,1038.947357,382.2050072,1466.774328,1004.140542,2208.254328,3298.596259,2661.750974,6335.727325,4106.264696,2083.695683,2050.866193,21070.7029,13772.09969,12070.09114,827.6260051,108.402834,0,10.727511,0,0,0,0,0,0,0,0,0,0,59.20145974,3.669021769,51.89073474,0,48.79868153,103.83207,47.42123044,43.70678611,245.9178666,150.260945,0,1263.462219,828.3988099,289.8907324,1287.520914,992.1332236,2182.691866,3050.68859,2451.491954,5179.520169,3722.807074,1865.849524,1957.089598,14880.35191,9395.17709,10214.16053,776.571276,95.64522825,0,10.727511,0,0,0,0,0,0,0,0,0,0,0,0,59.20145974,3.669021769,50.22095674,0,43.14269665,103.83207,44.02918184,43.70678611,245.9178666,150.260945,0,1240.164629,813.1359942,287.12883,1248.159625,989.0413098,2166.575436,2974.823572,2422.749835,5077.133026,3611.805622,1856.039812,1912.046805,14090.90749,8771.202829,9706.043604,776.571276,95.64522825,0,0.892137461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22321.03164,14151.76706,12269.7305,0,0,0,0,0,0,0,0,0,22321.03164,14151.76706,12269.7305,48742.5292
6,Bonaparte2016,4,2016,Bonaparte,302765.8543,1365.06,1261.97,2521.63,2209.38,2931.53,3384.48,3506.91,3861.63,4042.46,4787.76,6394.71,5946.05,6141.3,6203.3,4689.25,4219.29,3375.59,1760.81,3650.66,41757.25,69.43735069,12.94982965,65.77587433,0,97.81495994,212.2596448,118.4994033,138.4130219,316.0594214,224.4961296,0,1314.088172,1022.744488,391.4329231,1288.977208,895.5875051,2555.615407,2892.076203,3032.640816,6477.804798,4562.447669,2449.528112,1992.896272,21796.51863,14494.13354,13327.96721,627.6978048,8.894354861,0,0,0,0,0,0,0,0,0,69.43735069,12.94982965,65.77587433,0,97.67941655,212.2596448,118.3630073,123.8429796,297.9804588,220.344182,0,1257.088053,960.1564192,391.3718242,1164.65552,888.860603,2016.172814,2749.291041,2786.094706,6278.983571,4510.001072,2420.246258,1982.376488,21289.02987,13988.36793,13127.6036,627.6978048,8.894354861,0,0,0,0,0,0,0,0,0,0,69.43735069,12.94982965,65.77587432,0,97.67941655,212.2596448,118.3630073,123.8429796,297.9804588,220.344182,0,1249.017405,960.1465505,391.3718242,1140.499515,850.0240381,2003.531424,2653.174428,2754.383447,6245.735266,4482.319579,2403.863248,1979.56611,20870.47382,13710.18326,12886.67635,627.6978048,8.894354861,0,0,0,0,0,0,0,0,0,0,0,0,53.7270401,3.669021769,51.89073474,0,55.73482042,103.1218361,40.80958018,37.0251068,189.5777186,123.0514547,0,1147.918722,794.3168699,299.0547441,902.457296,809.113314,1972.291476,2400.319911,2520.465591,4894.985281,3741.505687,2154.019301,1869.27058,14074.73155,9184.114666,10199.28659,622.6068203,8.894354861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.7270401,3.669021769,50.22095674,0,50.07883554,103.1218361,38.39120552,37.0251068,189.5777186,123.0514547,0,1124.621132,776.4702514,296.2928418,890.6682471,806.0214002,1956.404693,2348.472922,2491.723472,4801.083219,3646.515823,2144.777571,1825.264056,13350.37829,8571.839264,9697.670031,622.6068203,8.894354861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627.6978048,8.894354861,0,0,0,0,0,0,0,627.6978048,8.894354861,0,636.5921597
7,Bonaparte2017,4,2017,Bonaparte,329259.2688,1610.3,1355.52,2778.14,2345.59,2987.96,4044.86,3919.68,4874.18,4400.55,4762.2,6450.67,6216.31,6665.43,6900.43,5314.9,4158.41,3610.37,1972.66,4079.25,39651.47,69.38557826,12.94982965,64.15244212,0,97.66152913,212.2596448,118.7082908,138.4130219,323.0492118,224.4961296,0,1519.869094,1054.41515,412.5711607,1759.764632,1029.877429,2578.660671,4208.244539,3597.923881,6523.594839,5575.791546,3469.953597,2343.051829,25689.04113,15079.38477,11907.49793,808.7765015,148.4022643,0,0,0,0,0,0,0,0,0,69.38557826,12.94982965,64.15244212,0,97.52598575,212.2596448,118.5718949,123.8429796,294.208357,220.344182,0,1444.918765,991.8270808,412.5100618,1635.442944,989.6041202,2039.218079,4056.515964,3348.993486,6326.319095,5522.881236,3440.415638,2331.932459,25140.24914,14571.10357,11707.14467,808.7765015,148.4022643,0,0,0,0,0,0,0,0,0,0,69.38557826,12.94982965,64.15244212,0,97.52598575,212.2596448,118.5718949,123.8429796,294.208357,220.344182,0,1436.848118,991.8172121,412.5100618,1611.286939,950.7675553,2026.576689,3944.03422,3313.75679,6293.070789,5485.156877,3402.296846,2328.708749,24713.40307,14270.44256,11528.01011,808.7765015,147.1363184,0,0,0,0,0,0,0,0,0,0,0,0,53.7270401,3.669021769,50.26730253,0,55.73482042,103.1218361,41.0184677,37.0251068,185.9268115,123.0514547,0,1338.154482,825.9835039,320.195787,1442.988111,935.1734012,1998.21274,3746.204908,3112.835354,5224.474726,5082.871956,3208.803908,2253.592366,17616.71171,9997.370717,10261.05673,793.2979907,130.7038022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.7270401,3.669021769,50.22095674,0,50.07883554,103.1218361,38.60009304,37.0251068,185.9268115,123.0514547,0,1314.856892,812.4714651,317.4338846,1425.078703,928.3163001,1982.325957,3687.045554,3083.082112,5130.572665,4973.933905,3193.018746,2208.023611,16725.93985,9378.959976,9756.64005,793.2979907,130.7038022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Bonaparte2018,4,2018,Bonaparte,356691.2327,1864.79,1368.17,2735.71,2468.8,3711.88,4542.79,4527.78,5059.72,4479.93,5040.99,6763.88,6484.53,6772,7044.76,6346.21,4615.91,3816.19,2003.9,4449.04,39720.25,69.43735069,12.94982965,64.15244212,0,97.81495994,212.2596448,118.5955284,138.4130219,322.3911771,227.3568906,0,1686.410106,1008.315457,422.891531,1903.369566,1144.428312,2555.640281,4808.428625,4044.050586,6960.586667,7159.887159,4108.241248,2545.48107,26051.85112,15945.85318,12856.50899,831.2673698,148.4022643,0,0,0,0,0,0,0,0,0,69.43735069,12.94982965,64.15244212,0,97.67941655,212.2596448,118.4591325,123.8429796,293.5503222,223.2049429,0,1611.459777,945.7273877,422.8304321,1779.516255,1104.155004,2016.197688,4656.700051,3795.52888,6763.310922,7103.178847,4076.04528,2533.497829,25486.56712,15437.26911,12656.14537,831.2673698,148.4022643,0,0,0,0,0,0,0,0,0,0,69.43735069,12.94982965,64.15244212,0,97.67941655,212.2596448,118.4591325,123.8429796,293.5503222,223.2049429,0,1603.38913,945.717519,422.830432,1751.182416,1065.318439,2003.556298,4537.854144,3765.170817,6729.99984,7028.745897,4038.015648,2530.274119,25058.9814,15134.98486,12456.65249,831.2673697,147.1363184,0,0,0,0,0,0,0,0,0,0,0,0,53.7270401,3.669021769,50.26730253,0,55.73482042,103.1218361,40.90570532,37.0251068,185.1475821,125.9122156,0,1502.160613,779.8878384,330.5133519,1515.022857,1024.407715,1972.31635,4234.487154,3536.639829,5483.743367,6271.87277,3837.990331,2430.333878,18333.38431,10691.2904,10269.42745,816.358576,130.7038022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.7270401,3.669021769,50.22095674,0,50.07883554,103.1218361,38.48733066,37.0251068,185.1475821,125.9122156,0,1478.863023,766.5357605,327.7514496,1500.834111,1017.550614,1956.429567,4175.126497,3510.371307,5389.409098,6159.248514,3823.213839,2382.478637,17523.32591,10055.4907,9765.010767,816.358576,130.7038022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Entiako2014,5,2014,Entiako,834502.6757,5608.13,6673.36,6056.73,5435.88,2326.39,3982.1,1310.54,1772.81,532.8,495.74,1638.38,3181.79,2868.46,1821.42,914.33,2489.53,1860.14,2000.77,4125.78,13225.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450403.4524,11137.78944,0,72.99584304,0,0,1525.613367,392.3245976,0,225.0389352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450403.146,11137.78944,0,72.99584304,0,0,1525.613367,392.3245976,0,225.0389352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450403.146,11137.78944,0,72.99584304,0,0,1525.613367,392.3245976,0,225.0389352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449769.4007,11137.78944,0,72.99584304,0,0,1483.544254,392.3245976,0,225.0389352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449577.6869,10475.46068,0,72.99584304,0,0,1477.777005,107.8385925,0,21.4844964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452227.1005,11530.11404,0,0,0,0,0,0,0,0,0,0,0,0,0,452227.1005,11530.11404,0,463757.2145
10,Entiako2015,5,2015,Entiako,1001269.337,6622.26,7450.42,6802.88,6960.54,3408.79,3962.4,1485.77,1894.79,964.82,661.56,2133.92,3199.1,3034.81,2054.42,1342.55,3194.73,2222.43,2509.62,5587.15,16585.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067720.633,11617.30497,0,72.99584304,0,0,1502.361796,392.3245976,0,225.0389352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067720.327,11606.63768,0,72.99584304,0,0,1502.361796,392.3245976,0,225.0389352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067471.254,11600.8284,0,72.99584304,0,0,1502.361796,392.3245976,0,225.0389352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066837.509,11600.8284,0,72.99584304,0,0,1460.292683,392.3245976,0,225.0389352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062999.487,10706.31986,0,72.99584304,0,0,1454.525434,107.8385925,0,21.4844964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800.396574,392.3245976,0,0,0,0,0,0,0,0,0,0,1800.396574,392.3245976,0,2192.721172
