,unique_id,id,year,name_sa,area_ha,cut_8_year_area_ha,mpb_all_8_year_area_ha,mpb_m_8_year_area_ha,mpb_s_8_year_area_ha,mpb_vs_8_year_area_ha
1,Big Creek2015,1,2015,Big Creek,545833.7595,39475.06,51693.18,49435.52873,2253.8633,3.787969475
2,Big Creek2016,1,2016,Big Creek,553615.8563,35377.72,49284.34212,46496.76992,2787.351208,0.220994092
3,Big Creek2017,1,2017,Big Creek,704067.0666,37010.1,1985.93799,1447.440078,538.3834697,0.114442271
4,Big Creek2018,1,2018,Big Creek,681245.8567,33395.86,3071.880849,2388.601476,683.2793732,0
5,Bonaparte2015,4,2015,Bonaparte,304819.2137,43262.54,48742.5292,22321.03164,14151.76706,12269.7305
6,Bonaparte2016,4,2016,Bonaparte,302765.8543,41757.25,636.5921597,627.6978048,8.894354861,0
7,Bonaparte2017,4,2017,Bonaparte,329259.2688,39651.47,0,0,0,0
8,Bonaparte2018,4,2018,Bonaparte,356691.2327,39720.25,0,0,0,0
9,Entiako2014,5,2014,Entiako,834502.6757,13225.73,463757.2145,452227.1005,11530.11404,0
10,Entiako2015,5,2015,Entiako,1001269.337,16585.91,2192.721172,1800.396574,392.3245976,0
11,Entiako2016,5,2016,Entiako,1155045.049,24168.05,22366.15083,22180.6282,185.5226272,0
12,Entiako2017,5,2017,Entiako,932118.0834,18701.93,225.0389352,225.0389352,0,0
13,Entiako2018,5,2018,Entiako,798654.4835,15893.24,0,0,0,0
14,John Prince Research Forest2015,2,2015,John Prince Research Forest,241654.5138,29168.59,962.257514,579.4786483,382.7788657,0
15,John Prince Research Forest2016,2,2016,John Prince Research Forest,539670.5435,51404.87,5237.060631,4866.840963,370.2196683,0
16,John Prince Research Forest2017,2,2017,John Prince Research Forest,688189.0975,64580.08,597.1760121,566.0242058,31.15180625,0
17,John Prince Research Forest2018,2,2018,John Prince Research Forest,680200.4644,66525,51.73459299,51.73459299,0,0
18,Prince George South2015,3,2015,Prince George South,411263.1809,28457.54,2726.646637,2074.424234,438.0605568,214.1618466
19,Prince George South2016,3,2016,Prince George South,702650.8384,48442.72,852.8181885,744.8716995,107.946489,0
20,Prince George South2017,3,2017,Prince George South,687005.1133,42131.52,58.42396118,22.82121243,35.60274874,0
21,Prince George South2018,3,2018,Prince George South,632486.422,30700.15,4.990482863,4.684805788,0.305677075,0
